GD McKenzie,7.666666666666667,8,0,22,2,2.2,England,Melbourne,Tue Jan 05 00:00:00 GMT 1971
AL Thomson,8.0,8,2,22,1,2.06,England,Melbourne,Tue Jan 05 00:00:00 GMT 1971
AN Connolly,8.0,8,0,62,0,5.81,England,Melbourne,Tue Jan 05 00:00:00 GMT 1971
AA Mallett,8.0,8,1,34,3,3.18,England,Melbourne,Tue Jan 05 00:00:00 GMT 1971
KR Stackpole,8.0,8,0,40,3,3.75,England,Melbourne,Tue Jan 05 00:00:00 GMT 1971
JA Snow,8.0,8,0,38,0,3.56,Australia,Melbourne,Tue Jan 05 00:00:00 GMT 1971
K Shuttleworth,7.0,8,0,29,1,3.1,Australia,Melbourne,Tue Jan 05 00:00:00 GMT 1971
P Lever,6.0,8,0,30,0,3.91,Australia,Melbourne,Tue Jan 05 00:00:00 GMT 1971
R Illingworth,8.0,8,1,50,3,4.68,Australia,Melbourne,Tue Jan 05 00:00:00 GMT 1971
BL D'Oliveira,6.0,8,1,38,1,4.75,Australia,Melbourne,Tue Jan 05 00:00:00 GMT 1971
JA Snow,11.0,6,1,33,1,3.0,Australia,Manchester,Thu Aug 24 00:00:00 BST 1972
GG Arnold,11.0,6,0,38,2,3.45,Australia,Manchester,Thu Aug 24 00:00:00 BST 1972
AW Greig,11.0,6,0,50,1,4.54,Australia,Manchester,Thu Aug 24 00:00:00 BST 1972
RA Woolmer,10.0,6,1,33,3,3.3,Australia,Manchester,Thu Aug 24 00:00:00 BST 1972
BL D'Oliveira,9.0,6,1,37,0,4.11,Australia,Manchester,Thu Aug 24 00:00:00 BST 1972
DB Close,3.0,6,0,21,0,7.0,Australia,Manchester,Thu Aug 24 00:00:00 BST 1972
DK Lillee,11.0,6,2,49,0,4.45,England,Manchester,Thu Aug 24 00:00:00 BST 1972
RAL Massie,11.0,6,1,49,1,4.45,England,Manchester,Thu Aug 24 00:00:00 BST 1972
GD Watson,8.0,6,1,28,2,3.5,England,Manchester,Thu Aug 24 00:00:00 BST 1972
AA Mallett,11.0,6,1,43,0,3.9,England,Manchester,Thu Aug 24 00:00:00 BST 1972
GS Chappell,3.0,6,0,20,0,6.66,England,Manchester,Thu Aug 24 00:00:00 BST 1972
KD Walters,3.0,6,1,16,0,5.33,England,Manchester,Thu Aug 24 00:00:00 BST 1972
KR Stackpole,2.1666666666666665,6,0,14,0,6.46,England,Manchester,Thu Aug 24 00:00:00 BST 1972
DK Lillee,11.0,6,0,56,2,5.09,England,Lord's,Sat Aug 26 00:00:00 BST 1972
RAL Massie,11.0,6,1,35,2,3.18,England,Lord's,Sat Aug 26 00:00:00 BST 1972
DJ Colley,11.0,6,1,72,0,6.54,England,Lord's,Sat Aug 26 00:00:00 BST 1972
AA Mallett,11.0,6,2,24,2,2.18,England,Lord's,Sat Aug 26 00:00:00 BST 1972
GS Chappell,11.0,6,0,34,1,3.09,England,Lord's,Sat Aug 26 00:00:00 BST 1972
JA Snow,11.0,6,2,35,3,3.18,Australia,Lord's,Sat Aug 26 00:00:00 BST 1972
GG Arnold,11.0,6,0,47,0,4.27,Australia,Lord's,Sat Aug 26 00:00:00 BST 1972
BL D'Oliveira,11.0,6,0,46,1,4.18,Australia,Lord's,Sat Aug 26 00:00:00 BST 1972
AW Greig,9.0,6,1,29,0,3.22,Australia,Lord's,Sat Aug 26 00:00:00 BST 1972
RA Woolmer,9.5,6,1,47,1,4.94,Australia,Lord's,Sat Aug 26 00:00:00 BST 1972
JA Snow,11.0,6,0,29,0,2.63,Australia,Birmingham,Mon Aug 28 00:00:00 BST 1972
GG Arnold,11.0,6,3,27,4,2.45,Australia,Birmingham,Mon Aug 28 00:00:00 BST 1972
AW Greig,10.0,6,3,24,0,2.4,Australia,Birmingham,Mon Aug 28 00:00:00 BST 1972
BL D'Oliveira,6.0,6,1,19,1,3.16,Australia,Birmingham,Mon Aug 28 00:00:00 BST 1972
RA Woolmer,11.0,6,1,50,1,4.54,Australia,Birmingham,Mon Aug 28 00:00:00 BST 1972
B Wood,6.0,6,0,20,2,3.33,Australia,Birmingham,Mon Aug 28 00:00:00 BST 1972
DK Lillee,11.0,6,2,25,3,2.27,England,Birmingham,Mon Aug 28 00:00:00 BST 1972
RAL Massie,8.5,6,3,45,0,5.29,England,Birmingham,Mon Aug 28 00:00:00 BST 1972
AA Mallett,4.0,6,0,16,0,4.0,England,Birmingham,Mon Aug 28 00:00:00 BST 1972
JR Hammond,9.0,6,1,41,1,4.55,England,Birmingham,Mon Aug 28 00:00:00 BST 1972
GS Chappell,11.0,6,3,20,1,1.81,England,Birmingham,Mon Aug 28 00:00:00 BST 1972
KD Walters,8.0,6,1,24,2,3.0,England,Birmingham,Mon Aug 28 00:00:00 BST 1972
Asif Masood,8.0,8,1,28,0,2.62,New Zealand,Christchurch,Sun Feb 11 00:00:00 GMT 1973
Saleem Altaf,7.0,8,0,22,2,2.35,New Zealand,Christchurch,Sun Feb 11 00:00:00 GMT 1973
Sarfraz Nawaz,7.5,8,0,46,4,4.67,New Zealand,Christchurch,Sun Feb 11 00:00:00 GMT 1973
Asif Iqbal,5.0,8,0,32,1,4.8,New Zealand,Christchurch,Sun Feb 11 00:00:00 GMT 1973
Majid Khan,8.0,8,0,23,1,2.15,New Zealand,Christchurch,Sun Feb 11 00:00:00 GMT 1973
Intikhab Alam,3.0,8,1,12,1,3.0,New Zealand,Christchurch,Sun Feb 11 00:00:00 GMT 1973
RO Collinge,8.0,8,1,35,0,3.28,Pakistan,Christchurch,Sun Feb 11 00:00:00 GMT 1973
